Intermediate,Week,WeekStart,Qty
TSP-104,21,2026-05-18 00:00:00,0
TSP-104,22,2026-05-25 00:00:00,0
TSP-104,23,2026-06-01 00:00:00,0
TSP-104,24,2026-06-08 00:00:00,0
TSP-104,25,2026-06-15 00:00:00,0
TSP-104,26,2026-06-22 00:00:00,0
TSP-104,27,2026-06-29 00:00:00,0
TSP-104,28,2026-07-06 00:00:00,0
TSP-104,29,2026-07-13 00:00:00,0
TSP-104,30,2026-07-20 00:00:00,0
TSP-104,31,2026-07-27 00:00:00,0
TSP-104,32,2026-08-03 00:00:00,0
TSP-104,33,2026-08-10 00:00:00,0
TSP-104,34,2026-08-17 00:00:00,0
TSP-104,35,2026-08-24 00:00:00,0
TSP-105,19,2026-05-04 00:00:00,0
TSP-105,20,2026-05-11 00:00:00,0
TSP-105,21,2026-05-18 00:00:00,0
TSP-105,22,2026-05-25 00:00:00,0
TSP-105,23,2026-06-01 00:00:00,0
TSP-105,24,2026-06-08 00:00:00,0
TSP-105,25,2026-06-15 00:00:00,0
TSP-105,26,2026-06-22 00:00:00,0
TSP-105,27,2026-06-29 00:00:00,0
TSP-105,28,2026-07-06 00:00:00,0
TSP-105,29,2026-07-13 00:00:00,0
TSP-105,30,2026-07-20 00:00:00,0
TSP-105,31,2026-07-27 00:00:00,0
TSP-105,32,2026-08-03 00:00:00,0
TSP-105,33,2026-08-10 00:00:00,0
TSP-105,34,2026-08-17 00:00:00,0
TSP-105,35,2026-08-24 00:00:00,0
TSP-199,19,2026-05-04 00:00:00,0
TSP-199,20,2026-05-11 00:00:00,0
TSP-199,21,2026-05-18 00:00:00,0
TSP-199,22,2026-05-25 00:00:00,0
TSP-199,23,2026-06-01 00:00:00,0
TSP-199,24,2026-06-08 00:00:00,0
TSP-199,25,2026-06-15 00:00:00,0
TSP-199,26,2026-06-22 00:00:00,0
TSP-199,27,2026-06-29 00:00:00,0
TSP-199,28,2026-07-06 00:00:00,0
TSP-199,29,2026-07-13 00:00:00,0
TSP-199,30,2026-07-20 00:00:00,0
TSP-199,31,2026-07-27 00:00:00,0
TSP-199,32,2026-08-03 00:00:00,0
TSP-199,33,2026-08-10 00:00:00,0
TSP-199,34,2026-08-17 00:00:00,0
TSP-199,35,2026-08-24 00:00:00,0
TSP-205,19,2026-05-04 00:00:00,0
TSP-205,20,2026-05-11 00:00:00,0
TSP-205,21,2026-05-18 00:00:00,0
TSP-205,22,2026-05-25 00:00:00,0
TSP-205,23,2026-06-01 00:00:00,0
TSP-205,24,2026-06-08 00:00:00,0
TSP-205,25,2026-06-15 00:00:00,0
TSP-205,26,2026-06-22 00:00:00,0
TSP-205,27,2026-06-29 00:00:00,0
TSP-205,28,2026-07-06 00:00:00,0
TSP-205,29,2026-07-13 00:00:00,0
TSP-205,30,2026-07-20 00:00:00,0
TSP-205,31,2026-07-27 00:00:00,0
TSP-205,32,2026-08-03 00:00:00,0
TSP-205,33,2026-08-10 00:00:00,0
TSP-205,34,2026-08-17 00:00:00,0
TSP-205,35,2026-08-24 00:00:00,0
TSP-206,19,2026-05-04 00:00:00,0
TSP-206,20,2026-05-11 00:00:00,0
TSP-206,21,2026-05-18 00:00:00,0
TSP-206,22,2026-05-25 00:00:00,0
TSP-206,23,2026-06-01 00:00:00,0
TSP-206,24,2026-06-08 00:00:00,0
TSP-206,25,2026-06-15 00:00:00,0
TSP-206,26,2026-06-22 00:00:00,0
TSP-206,27,2026-06-29 00:00:00,0
TSP-206,28,2026-07-06 00:00:00,0
TSP-206,29,2026-07-13 00:00:00,0
TSP-206,30,2026-07-20 00:00:00,0
TSP-206,31,2026-07-27 00:00:00,0
TSP-206,32,2026-08-03 00:00:00,0
TSP-206,33,2026-08-10 00:00:00,0
TSP-206,34,2026-08-17 00:00:00,0
TSP-206,35,2026-08-24 00:00:00,0
TSP-224,19,2026-05-04 00:00:00,0
TSP-224,20,2026-05-11 00:00:00,0
TSP-224,21,2026-05-18 00:00:00,0
TSP-224,22,2026-05-25 00:00:00,0
TSP-224,23,2026-06-01 00:00:00,0
TSP-224,24,2026-06-08 00:00:00,0
TSP-224,25,2026-06-15 00:00:00,0
TSP-224,26,2026-06-22 00:00:00,0
TSP-224,27,2026-06-29 00:00:00,0
TSP-224,28,2026-07-06 00:00:00,0
TSP-224,29,2026-07-13 00:00:00,0
TSP-224,30,2026-07-20 00:00:00,0
