Intermediate,Type,PGM,RM_Code,RM_Description,RM_Qty_Per_Batch,Batch_Size
VSP-822,Slurry,Rh-VW,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.48312,113.85
VSP-822,Slurry,Rh-VW,CHEM-1530,JCK-97,0.48896,113.85
VSP-822,Slurry,Rh-VW,CHEM-1400,Dispal,0.04322,113.85
VSP-822,Slurry,Rh-VW,CHEM-1260,Acetic Acid 90% (25L),0.02408,113.85
VSP-822,Slurry,Rh-VW,CHEM-1650,Duasyn Acid Blue,0.00052,113.85
VSP-822,Slurry,Rh-VW,CHEM-1440,Citric Acid,0.01084,113.85
VSP-822,Slurry,Rh-VW,CHEM-1660,GW-3394,0.00963,113.85
VSP-822,Slurry,Rh-VW,CHEM-1570,NOPAGOAL A,0.00096,113.85
VSP-822,Slurry,Rh-VW,CHEM-1420,HEC SE900,0.01324,113.85
VSP-910,Slurry,Rh-VW,CHEM-1530,JCK-97,0.48645,91.8
VSP-910,Slurry,Rh-VW,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.48064,91.8
VSP-910,Slurry,Rh-VW,CHEM-1400,Dispal,0.043,91.8
VSP-910,Slurry,Rh-VW,CHEM-1260,Acetic Acid 90% (25L),0.01677,91.8
VSP-910,Slurry,Rh-VW,CHEM-1420,HEC SE900,0.01557,91.8
VSP-910,Slurry,Rh-VW,CHEM-1440,Citric Acid,0.01102,91.8
VSP-910,Slurry,Rh-VW,CHEM-1660,GW-3394,0.00994,91.8
VSP-910,Slurry,Rh-VW,CHEM-1570,NOPAGOAL A,0.00099,91.8
VSP-910,Slurry,Rh-VW,CHEM-1650,Duasyn Acid Blue,0.00052,91.8
VSP-989,Slurry,Pd-VW,CHEM-1570,NOPAGOAL A,0.00096,94.5
VSP-989,Slurry,Pd-VW,CHEM-1660,GW-3394,0.00961,94.5
VSP-989,Slurry,Pd-VW,CHEM-1440,Citric Acid,0.00096,94.5
VSP-989,Slurry,Pd-VW,CHEM-1420,HEC SE900,0.00648,94.5
VSP-989,Slurry,Pd-VW,CHEM-1030,Ammonium Hydroxide (25L),0.03362,94.5
VSP-989,Slurry,Pd-VW,CHEM-1510,BA-070,0.06965,94.5
VSP-989,Slurry,Pd-VW,CHEM-1400,Dispal,0.02268,94.5
VSP-989,Slurry,Pd-VW,CHEM-1600,BF-1P,0.08177,94.5
VSP-989,Slurry,Pd-VW,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.42294,94.5
VSP-989,Slurry,Pd-VW,CHEM-1610,Optalys 138,0.45879,94.5
VSP-989,Slurry,Pd-VW,CHEM-1640,Palladium DiNitrate (PDN) - VW,35.14249,94.5
VSP-990,Slurry,Rh-VW,CHEM-1650,Duasyn Acid Blue,0.0006,81
VSP-990,Slurry,Rh-VW,CHEM-1570,NOPAGOAL A,0.001,81
VSP-990,Slurry,Rh-VW,CHEM-1660,GW-3394,0.00996,81
VSP-990,Slurry,Rh-VW,CHEM-1440,Citric Acid,0.00598,81
VSP-990,Slurry,Rh-VW,CHEM-1420,HEC SE900,0.01049,81
VSP-990,Slurry,Rh-VW,CHEM-1260,Acetic Acid 90% (25L),0.01259,81
VSP-990,Slurry,Rh-VW,CHEM-1400,Dispal,0.04303,81
VSP-990,Slurry,Rh-VW,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.4808,81
VSP-990,Slurry,Rh-VW,CHEM-1530,JCK-97,0.48661,81
TPP-103,Powder,Pd,CHEM-1220,Actalys Lisa,0.64935,69.45
TPP-103,Powder,Pd,CHEM-1110,Alumina Powder,0.33835,69.45
TPP-103,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,35.71429,69.45
TPP-1367,Powder,SCH,CHEM-1800,Stabilys 392,1.00938,26.54
TPP-1368,Powder,Rh,CHEM-1800,Stabilys 392,1.01047,27.79
TPP-1369,Powder,Rh,CHEM-1800,Stabilys 392,1.01373,30.72
TPP-1378,Powder,Rh,CHEM-1800,Stabilys 392,1.01123,19.22
TPP-1379,Powder,Rh,CHEM-1800,Stabilys 392,1.01425,19.63
TPP-190,Powder,Pd,CHEM-1460,Optalys 114,0.74837,72.05
TPP-190,Powder,Pd,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.25747,72.05
TPP-190,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,9.90099,72.05
TPP-204,Powder,Pd,CHEM-1220,Actalys Lisa,0.31012,44.05
TPP-204,Powder,Pd,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.67747,44.05
TPP-204,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,17.54386,44.05
TPP-350,Powder,Pd,CHEM-1520,TH100/100L1,0.485,102.71
TPP-350,Powder,Pd,CHEM-1490,Optalys 227,0.52348,102.71
TPP-350,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,8.81057,102.71
TPP-356,Powder,Pd,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.46393,89.3
TPP-356,Powder,Pd,CHEM-1220,Actalys Lisa,0.52054,89.3
TPP-356,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,23.63823,89.3
TPP-358,Powder,Rh,CHEM-1540,NAT 35,1.01159,64.4
TPP-527,Powder,Pd,CHEM-1520,TH100/100L1,0.57024,114.45
TPP-527,Powder,Pd,CHEM-1490,Optalys 227,0.43963,114.45
TPP-527,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,7.25138,114.45
TPP-533,Powder,Rh,CHEM-1540,NAT 35,1.01005,58.6938775510204
TPP-537,Powder,Pd,CHEM-1490,Optalys 227,1.00845,35.58
TPP-537,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,9.90099,35.58
TPP-609,Powder,Pd,CHEM-1710,Stabilys 308,1.00478,42.52
TPP-609,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,15.31729,42.52
TPP-611,Powder,Rh,CHEM-1680,NAT 38,1.01928,17.88
TPP-613,Powder,Rh,CHEM-1680,NAT 38,1.02391,17.82
TPP-635,Powder,Rh,CHEM-1770,RCT39,0.99901,44.26
TPP-649,Powder,Rh,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.97896,32.24
TPP-650,Powder,Pd,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.3565,58.21
TPP-650,Powder,Pd,CHEM-1530,JCK-97,0.62208,58.21
TPP-650,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,31.86275,58.21
TPP-699,Powder,Pt,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.98334,38.85
TPP-700,Powder,Pt,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.98495,36.03
TPP-701,Powder,Pt,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.98981,36.61
TPP-704,Powder,Pd,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.4782,123.03
TPP-704,Powder,Pd,CHEM-1490,Optalys 227,0.52348,123.03
TPP-704,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,8.81057,123.03
TPP-825,Powder,Pt,CHEM-1410,Aluminium Oxide [SCFA-100L4] - BAGS,0.99347,29.82
TPP-911,Powder,Pd,CHEM-1730,NAT 41,0.99316,52.15
TPP-911,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,21.73913,52.15
TPP-912,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,6.62252,51.73
TPP-912,Powder,Pd,CHEM-1730,NAT 41,1.00851,51.73
TPP-914,Powder,Rh,CHEM-1680,NAT 38,1.0241,25.69
TPP-915,Powder,Rh,CHEM-1680,NAT 38,1.0258,25.35
TPP-916,Powder,Rh,CHEM-1680,NAT 38,1.02784,25.91
TPP-917,Powder,Rh,CHEM-1680,NAT 38,1.02887,25.89
TPP-919,Powder,Rh,CHEM-1680,NAT 38,1.02164,17.44
TPP-920,Powder,Rh,CHEM-1680,NAT 38,1.02395,18.05
TPP-922,Powder,Rh,CHEM-1680,NAT 38,1.02673,17.69
TPP-923,Powder,Rh,CHEM-1680,NAT 38,1.02812,17.67
TPP-968,Powder,Rh,CHEM-1520,TH100/100L1,0.99201,22.38
TPP-970,Powder,Pd,CHEM-1490,Optalys 227,0.63286,38.27
TPP-970,Powder,Pd,CHEM-1520,TH100/100L1,0.35287,38.27
TPP-970,Powder,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,31.43275,38.27
SOL-10H,Solution,Rh,CHEM-1170,Rhodium Trichloride (RTC) - TSAM,12,250
SOL-10H,Solution,Rh,CHEM-1620,Ammonium Hydroxide (2.5L),0.00444,250
SOL-10H,Solution,Rh,CHEM-1050,Nitric Acid,0.06444,250
SOL-10H,Solution,Rh,CHEM-1200,Oxalic Acid,12,250
SOL-10H,Solution,Rh,CHEM-1100,Sodium Hydroxide (Caustic Soda),0.03111,250
SOL-10H,Solution,Rh,CHEM-1190,Hydrochloric Acid,0.0036,250
SOL-10H VW,Solution,Rh,CHEM-1630,Rhodium Trichloride (RTC) - VW,12,250
SOL-10H VW,Solution,Rh,CHEM-1620,Ammonium Hydroxide (2.5L),0.00444,250
SOL-10H VW,Solution,Rh,CHEM-1050,Nitric Acid,0.06444,250
SOL-10H VW,Solution,Rh,CHEM-1200,Oxalic Acid,12,250
SOL-10H VW,Solution,Rh,CHEM-1100,Sodium Hydroxide (Caustic Soda),0.03111,250
SOL-10H VW,Solution,Rh,CHEM-1190,Hydrochloric Acid,0.0036,250
SOL-20P,Solution,Pt,CHEM-1090,Chloro Platinic Acid (CPA) - TSAM,40.60914,200
SOL-20P,Solution,Pt,CHEM-1010,Sodium Carbonate Anhydrous,0.02437,200
SOL-20P,Solution,Pt,CHEM-1020,Sodium Nitrite,0.1269,200
SOL-20P,Solution,Pt,CHEM-1620,Ammonium Hydroxide (2.5L),0.03553,200
SOL-20P,Solution,Pt,CHEM-1050,Nitric Acid,0.02162,200
SOL-250D,Solution,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,130.00144,69.2300023753583
SOL-250D,Solution,Pd,CHEM-1030,Ammonium Hydroxide (25L),0.69334,69.2300023753583
SOL-250D,Solution,Pd,CHEM-1280,N-Dodeoyl Trimethyl Ammonium Chloride,1,69.2300023753583
SOL-250D,Solution,Pd,CHEM-1310,Monoethanol Amine,0.143,69.2300023753583
SOL-85D,Solution,Pd,CHEM-1180,Palladium DiNitrate (PDN) - TSAM,78.00312,115.38000018460801
SOL-85D,Solution,Pd,CHEM-1030,Ammonium Hydroxide (25L),0.49402,115.38000018460801
SOL-85D,Solution,Pd,CHEM-1280,N-Dodeoyl Trimethyl Ammonium Chloride,0.99671,115.38000018460801
SOL-SCH,Solution,Rh,CHEM-1170,Rhodium Trichloride (RTC) - TSAM,10,300
SOL-SCH,Solution,Rh,CHEM-1100,Sodium Hydroxide (Caustic Soda),0.018,300
SOL-SCH,Solution,Rh,CHEM-1030,Ammonium Hydroxide (25L),0.0017,300
SOL-SCH,Solution,Rh,CHEM-1050,Nitric Acid,0.0721,300
SOL-SCH,Solution,Rh,CHEM-1810,Tetraethylammonium Hydroxide 35% AQ,0.3192,300
SOL-SH,Solution,Rh,CHEM-1170,Rhodium Trichloride (RTC) - TSAM,26.49917,113.21109302668725
SOL-SH,Solution,Rh,CHEM-1050,Nitric Acid,0.14722,113.21109302668725
SOL-SH,Solution,Rh,CHEM-1100,Sodium Hydroxide (Caustic Soda),0.0687,113.21109302668725
SOL-SH,Solution,Rh,CHEM-1500,TMAH,0.15016,113.21109302668725
