RM_Code,PO_No,Confirmed_Qty,Latest_ETA,Received_Date,Status
CHEM-1530,PO066939,2100,2026-02-15,2026-02-19,TTAF Stock
CHEM-1600,PO066939,300,2026-02-15,2026-02-19,TTAF Stock
CHEM-1570,PO066939,36,2026-02-15,2026-02-19,TTAF Stock
CHEM-1670,PO066939,180,2026-02-15,2026-02-19,TTAF Stock
CHEM-1690,PO066939,135,2026-02-15,2026-02-19,TTAF Stock
CHEM-1700,PO066939,60,2026-02-15,2026-02-19,TTAF Stock
CHEM-1720,PO066939,2040,2026-02-15,2026-02-19,TTAF Stock
CHEM-1760,PO066939,17,2026-02-15,2026-02-19,TTAF Stock
CHEM-1200,PO066939,25,2026-02-15,2026-02-19,TTAF Stock
CHEM-1680,PO066939,200,2026-02-15,2026-02-19,TTAF Stock
CHEM-1660,PO066949,60,2026-02-03,,TTAF Stock
CHEM-1830,,75,2026-02-15,2026-02-19,TTAF Stock
CHEM-1820,,500,2026-02-15,2026-02-19,TTAF Stock
CHEM-1840,,18,2026-02-15,2026-02-19,TTAF Stock
TPP-1469,,18.64,2026-02-15,2026-02-19,TTAF Stock
4HL,,9120,2026-02-22,2026-02-26,TTAF Stock
4HL,,14400,2026-03-16,2026-03-21,TTAF Stock
4HL,,14400,2026-03-01,2026-03-09,TTAF Stock
4HL,,20640,2026-03-11,2026-03-17,TTAF Stock
4HL,,16320,2026-03-22,2026-03-27,TTAF Stock
4HL,,960,2026-03-23,2026-03-31,TTAF Stock
4HL,,432,2026-02-22,2026-02-26,TTAF Stock
1EK,,14400,2026-02-22,2026-02-26,TTAF Stock
1EK,,14400,2026-03-01,2026-03-09,TTAF Stock
1EK,,9120,2026-03-11,2026-03-17,TTAF Stock
TDJ,PO066946,784,2026-03-31,2026-04-02,TTAF Stock
9RN,PO066934,21780,2026-02-15,2026-02-19,TTAF Stock
0JN,PO066940,8243,2026-03-14,2026-03-18,TTAF Stock
CHEM-1240,PO067067,440,2026-03-11,2026-03-18,TTAF Stock
CHEM-1250,PO067067,100,2026-03-11,2026-03-18,TTAF Stock
CHEM-1400,PO067067,100,2026-03-11,2026-03-18,TTAF Stock
CHEM-1420,PO067067,160,2026-03-11,2026-03-18,TTAF Stock
CHEM-1440,PO067067,200,2026-03-11,2026-03-18,TTAF Stock
CHEM-1540,PO067067,3000,2026-03-11,2026-03-18,TTAF Stock
CHEM-1530,PO067067,2100,2026-03-11,2026-03-18,TTAF Stock
CHEM-1600,PO067067,100,2026-03-11,2026-03-18,TTAF Stock
CHEM-1570,PO067067,36,2026-03-11,2026-03-18,TTAF Stock
CHEM-1670,PO067067,180,2026-03-11,2026-03-18,TTAF Stock
CHEM-1700,PO067067,60,2026-03-11,2026-03-18,TTAF Stock
CHEM-1720,PO067067,720,2026-03-11,2026-03-18,TTAF Stock
PP FILM,PO067067,3000,2026-03-11,2026-03-18,TTAF Stock
CHEM-1650,PO067067,25,2026-03-11,2026-03-18,TTAF Stock
Original Towel,PO067067,10000,2026-03-11,2026-03-18,TTAF Stock
TPP-1469,,18.7,2026-03-11,2026-03-18,TTAF Stock
CHEM-1660,PO067070,180,2026-03-11,2026-03-18,TTAF Stock
CHEM-1280,PO067070,1000,2026-03-11,2026-03-18,TTAF Stock
4HL,,960,2026-03-31,2026-04-07,TTAF Stock
4HL,,9600,2026-04-08,2026-04-16,TTAF Stock
4HL,,4800,2026-03-31,2026-04-13,TTAF Stock
4HL,,480,2026-03-31,2026-04-02,TTAF Stock
4HL,,5760,2026-04-13,2026-04-20,TTAF Stock
4HL,,156,2026-03-31,2026-04-02,TTAF Stock
4HL,,144,2026-03-31,2026-04-14,TTAF Stock
1EK,,4800,2026-03-17,2026-03-24,TTAF Stock
1EK,,10080,2026-03-31,2026-04-03,TTAF Stock
1EK,,1920,2026-03-31,2026-04-02,TTAF Stock
TDJ,PO067121,784,2026-04-24,2026-05-05,TTAF Stock
TDJ,PO067121,205,2026-04-24,2026-05-05,TTAF Stock
9RN,PO067086,22792,2026-03-31,2026-04-13,TTAF Stock
9RN,PO067086,4796,2026-03-31,2026-04-13,TTAF Stock
0JN,PO067071,18835,2026-03-22,2026-03-31,TTAF Stock
0JN,PO067071,9289,2026-04-04,2026-04-08,TTAF Stock
0JN,PO067071,11522,2026-04-26,2026-05-05,TTAF Stock
CHEM-1250,PO067281,150,2026-04-05,,TTAF Stock
CHEM-1400,PO067281,300,2026-04-05,,TTAF Stock
CHEM-1420,PO067281,240,2026-04-05,,TTAF Stock
CHEM-1440,PO067281,200,2026-04-05,,TTAF Stock
CHEM-1540,PO067281,2000,2026-04-05,,TTAF Stock
CHEM-1530,PO067281,2800,2026-04-05,,TTAF Stock
CHEM-1600,PO067281,250,2026-04-05,,TTAF Stock
CHEM-1570,PO067281,36,2026-04-05,,TTAF Stock
CHEM-1670,PO067281,180,2026-04-05,,TTAF Stock
CHEM-1690,PO067281,135,2026-04-05,,TTAF Stock
CHEM-1700,PO067281,60,2026-04-05,,TTAF Stock
CHEM-1720,PO067281,720,2026-04-05,,TTAF Stock
CHEM-1760,PO067281,17,2026-04-05,,TTAF Stock
CHEM-1200,PO067281,25,2026-04-05,,TTAF Stock
CHEM-1680,PO067281,200,2026-04-05,,TTAF Stock
CHEM-1660,PO067274,180,2026-04-05,,TTAF Stock
4HL,,19200,2026-04-19,2026-04-23,TTAF Stock
4HL,,19200,2026-04-24,2026-04-24,TTAF Stock
4HL,,15840,2026-05-13,2026-05-19,TTAF Stock
4HL,,5760,2026-05-17,2026-05-25,TTAF Stock
4HL,,246,2026-05-13,2026-05-19,TTAF Stock
1EK,,8640,2026-05-04,2026-05-08,TTAF Stock
1EK,,9120,2026-05-13,2026-05-19,TTAF Stock
1EK,,9600,2026-05-09,2026-05-19,TTAF Stock
1EK,,2880,2026-05-13,2026-05-19,TTAF Stock
1EK,,392,2026-05-13,2026-05-19,TTAF Stock
1EK,,745,2026-05-04,2026-05-11,TTAF Stock
9RN,PO067280,22869,2026-04-19,2026-04-24,TTAF Stock
9RN,PO067280,18216,2026-04-19,2026-04-24,TTAF Stock
9RN,PO067280,19140,2026-05-22,2026-05-28,TTAF Stock
9RN,PO067280,14795,2026-05-22,2026-05-27,TTAF Stock
0JN,PO067278,7117,2026-04-26,2026-05-05,TTAF Stock
0JN,PO067278,12672,2026-04-26,2026-05-05,TTAF Stock
0JN,PO067278,18825,2026-05-23,2026-05-28,TTAF Stock
0JN,PO067278,1188,2026-05-30,,In-transit
CHEM-1240,PO067529,660,2026-05-14,2026-05-22,TTAF Stock
CHEM-1250,PO067529,150,2026-05-14,2026-05-22,TTAF Stock
CHEM-1400,PO067529,350,2026-05-14,2026-05-22,TTAF Stock
CHEM-1420,PO067529,320,2026-05-14,2026-05-22,TTAF Stock
CHEM-1440,PO067529,200,2026-05-14,2026-05-22,TTAF Stock
CHEM-1540,PO067529,2500,2026-05-14,2026-05-22,TTAF Stock
CHEM-1530,PO067529,3500,2026-05-14,2026-05-22,TTAF Stock
CHEM-1600,PO067529,350,2026-05-14,2026-05-22,TTAF Stock
CHEM-1570,PO067529,36,2026-05-14,2026-05-22,TTAF Stock
CHEM-1670,PO067529,180,2026-05-14,2026-05-22,TTAF Stock
CHEM-1690,PO067529,135,2026-05-14,2026-05-22,TTAF Stock
CHEM-1700,PO067529,60,2026-05-14,2026-05-22,TTAF Stock
CHEM-1720,PO067529,1080,2026-05-14,2026-05-22,TTAF Stock
CHEM-1680,PO067529,200,2026-05-14,2026-05-22,TTAF Stock
CHEM-1730,PO067529,200,2026-05-14,2026-05-22,TTAF Stock
CHEM-1660,PO067514,120,2026-05-13,2026-05-21,TTAF Stock
CHEM-1280,PO067514,1000,2026-05-13,2026-05-21,TTAF Stock
4HL,,6720,2026-05-22,2026-05-27,TTAF Stock
4HL,,14400,2026-05-28,,In-transit
4HL,,9600,2026-06-02,,In-transit
4HL,,13440,2026-06-08,,In-transit
4HL,,11040,2026-06-08,,In-transit
4HL,,346,2026-05-22,2026-05-27,TTAF Stock
1EK,,4800,2026-05-22,2026-05-27,TTAF Stock
1EK,,434,2026-05-22,2026-05-27,TTAF Stock
9RN,PO067508,15554,2026-06-02,,In-transit
9RN,PO067508,20746,2026-06-15,,In-transit
0JN,PO067515,7919,2026-05-30,,In-transit
CHEM-1240,PO068015,660,2026-06-08,,In-transit
CHEM-1250,PO068015,50,2026-06-08,,In-transit
CHEM-1400,PO068015,200,2026-06-08,,In-transit
CHEM-1420,PO068015,240,2026-06-08,,In-transit
CHEM-1540,PO068015,4500,2026-06-08,,In-transit
CHEM-1530,PO068015,2100,2026-06-08,,In-transit
CHEM-1570,PO068015,18,2026-06-08,,In-transit
CHEM-1670,PO068015,360,2026-06-08,,In-transit
CHEM-1690,PO068015,135,2026-06-08,,In-transit
CHEM-1700,PO068015,60,2026-06-08,,In-transit
CHEM-1720,PO068015,1320,2026-06-08,,In-transit
CHEM-1760,PO068015,17,2026-06-08,,In-transit
CHEM-1200,PO068015,25,2026-06-08,,In-transit
CHEM-1840,PO068015,18,2026-06-08,,In-transit
TPP-1469,,74.56,2026-06-08,,In-transit
CHEM-1660,PO067957,180,2026-06-08,,In-transit
CHEM-1280,PO067957,1000,2026-06-08,,In-transit
4HL,,12000,2026-07-10,,Unconfirmed
4HL,,6240,2026-07-12,,Unconfirmed
4HL,,6240,2026-07-17,,Unconfirmed
4HL,,5972,2026-07-19,,Unconfirmed
4HL,,5760,2026-07-24,,Unconfirmed
4HL,,6240,2026-07-26,,Unconfirmed
4HL,,5902,2026-07-31,,Unconfirmed
4HL,,6240,2026-08-02,,Unconfirmed
4HL,,5760,2026-08-07,,Unconfirmed
TDJ,,392,2026-07-19,,Unconfirmed
TDJ,,200,2026-07-24,,Unconfirmed
TDJ,,392,2026-07-26,,Unconfirmed
TDJ,,392,2026-08-02,,Unconfirmed
TDJ,,392,2026-08-07,,Unconfirmed
0JN,PO067815,12672,2026-06-30,,Unconfirmed
CHEM-1240,PO067960,440,2026-07-03,,Unconfirmed
CHEM-1250,PO067960,125,2026-07-03,,Unconfirmed
CHEM-1400,PO067960,250,2026-07-03,,Unconfirmed
CHEM-1420,PO067960,240,2026-07-03,,Unconfirmed
CHEM-1440,PO067960,200,2026-07-03,,Unconfirmed
CHEM-1540,PO067960,2000,2026-07-03,,Unconfirmed
CHEM-1530,PO067960,2100,2026-07-03,,Unconfirmed
CHEM-1600,PO067960,300,2026-07-03,,Unconfirmed
CHEM-1570,PO067960,54,2026-07-03,,Unconfirmed
CHEM-1670,PO067960,180,2026-07-03,,Unconfirmed
CHEM-1700,PO067960,90,2026-07-03,,Unconfirmed
CHEM-1720,PO067960,960,2026-07-03,,Unconfirmed
CHEM-1200,PO067960,25,2026-07-03,,Unconfirmed
CHEM-1680,PO067960,100,2026-07-03,,Unconfirmed
CHEM-1840,PO067960,18,2026-07-03,,Unconfirmed
TPP-1469,,37.28,2026-07-03,,Unconfirmed
CHEM-1660,PO067957,150,2026-07-02,,Unconfirmed
CHEM-1280,PO067957,1500,2026-07-02,,Unconfirmed
0JN,PO067959,18612,2026-07-31,,Unconfirmed
