RM_Code,PO_No,Confirmed_Qty,Latest_ETA,Received_Date,Status
CHEM-1420,PO064869 Haz & PO064871 Chem,160,2025-05-12,2025-05-23,TTAF Stock
CHEM-1530,PO064869 Haz & PO064871 Chem,4200,2025-05-12,2025-05-23,TTAF Stock
CHEM-1600,PO064869 Haz & PO064871 Chem,300,2025-05-12,2025-05-23,TTAF Stock
CHEM-1540,PO064869 Haz & PO064871 Chem,2500,2025-05-12,2025-05-23,TTAF Stock
CHEM-1760,PO064869 Haz & PO064871 Chem,17,2025-05-12,2025-05-23,TTAF Stock
CHEM-1690,PO064869 Haz & PO064871 Chem,135,2025-05-12,2025-05-23,TTAF Stock
CHEM-1720,PO064869 Haz & PO064871 Chem,1080,2025-05-12,2025-05-23,TTAF Stock
CHEM-1280,PO064869 Haz & PO064871 Chem,1000,2025-05-07,2025-05-16,TTAF Stock
CHEM-1440,PO064869 Haz & PO064871 Chem,150,2025-05-12,2025-05-23,TTAF Stock
CHEM-1240,PO064869 Haz & PO064871 Chem,440,2025-05-12,2025-05-23,TTAF Stock
Original Towel,PO064869 Haz & PO064871 Chem,10000,2025-05-12,2025-05-23,TTAF Stock
0LJ,PO065004,384,2025-04-05,2025-04-08,TTAF Stock
4HL,,8640,2025-05-18,2025-05-20,TTAF Stock
4HL,,8640,2025-06-17,2025-06-25,TTAF Stock
4HL,,8640,2025-05-26,2025-06-05,TTAF Stock
4HL,,8640,2025-06-14,2025-06-20,TTAF Stock
4HL,,10560,2025-05-31,2025-06-06,TTAF Stock
4HL,,480,2025-06-14,2025-06-18,TTAF Stock
1EK,,960,2025-05-18,2025-05-20,TTAF Stock
1EK,,960,2025-06-17,2025-06-25,TTAF Stock
1EK,,960,2025-05-26,2025-06-05,TTAF Stock
1EK,,960,2025-06-14,2025-06-20,TTAF Stock
1EK,,960,2025-05-31,2025-06-06,TTAF Stock
9RN,PO064870,22385,2025-05-12,2025-05-16,TTAF Stock
9RN,PO064870,21175,2025-05-26,2025-06-02,TTAF Stock
7EP,PO064870,8640,2025-05-12,2025-05-16,TTAF Stock
7EP,PO065163,2055,2025-05-12,2025-05-16,TTAF Stock
F2290,PO064870,5940,2025-05-12,2025-05-16,TTAF Stock
0JN,PO064866,7964,2025-05-28,2025-06-02,TTAF Stock
0JN,PO064866,18392,2025-05-28,2025-06-02,TTAF Stock
0JN,PO064866,19008,2025-06-21,2025-06-24,TTAF Stock
0JN,PO064866,8110,2025-07-06,2025-07-15,TTAF Stock
CHEM-1250,PO065147,50,2025-05-31,2025-06-02,TTAF Stock
CHEM-1400,PO065147,250,2025-05-31,2025-06-02,TTAF Stock
CHEM-1570,PO065147,36,2025-05-31,2025-06-02,TTAF Stock
CHEM-1670,PO065147,180,2025-05-31,2025-06-02,TTAF Stock
CHEM-1700,PO065147,60,2025-05-31,2025-06-02,TTAF Stock
CHEM-1660,PO065416,180,2025-05-31,2025-06-04,TTAF Stock
CHEM-1420,PO065147,320,2025-05-31,2025-06-02,TTAF Stock
CHEM-1530,PO065147,3500,2025-05-31,2025-06-02,TTAF Stock
CHEM-1600,PO065147,200,2025-05-31,2025-06-02,TTAF Stock
CHEM-1540,PO065147,2500,2025-05-31,2025-06-02,TTAF Stock
CHEM-1690,PO065147,135,2025-05-31,2025-06-02,TTAF Stock
CHEM-1720,PO065147,1080,2025-05-31,2025-06-02,TTAF Stock
CHEM-1280,PO065416,1000,2025-05-31,2025-06-04,TTAF Stock
CHEM-1440,PO065147,100,2025-05-31,2025-06-02,TTAF Stock
CHEM-1240,PO065147,440,2025-05-31,2025-06-02,TTAF Stock
4HL,PO065143,4800,2025-07-09,2025-07-16,TTAF Stock
4HL,PO065143,4800,2025-06-30,2025-07-04,TTAF Stock
4HL,PO065143,9600,2025-07-06,2025-07-17,TTAF Stock
1EK,PO065143,4800,2025-07-09,2025-07-16,TTAF Stock
1EK,PO065143,4800,2025-06-30,2025-07-04,TTAF Stock
1EK,PO065143,2400,2025-07-06,2025-07-17,TTAF Stock
9RN,PO065144,14355,2025-06-19,2025-06-25,TTAF Stock
9RN,PO065144,19525,2025-06-19,2025-06-25,TTAF Stock
7EP,PO065144,4320,2025-06-19,2025-06-25,TTAF Stock
F2290,PO065144,1980,2025-06-19,2025-06-25,TTAF Stock
0JN,PO065145,7853,2025-07-06,2025-07-15,TTAF Stock
CHEM-1250,PO065361 Haz & PO065381 Chem,100,2025-07-06,2025-07-15,TTAF Stock
CHEM-1400,PO065361 Haz & PO065381 Chem,100,2025-07-06,2025-07-15,TTAF Stock
CHEM-1570,PO065361 Haz & PO065381 Chem,36,2025-07-06,2025-07-15,TTAF Stock
CHEM-1670,PO065361 Haz & PO065381 Chem,180,2025-07-06,2025-07-15,TTAF Stock
CHEM-1700,PO065361 Haz & PO065381 Chem,30,2025-07-06,2025-07-15,TTAF Stock
CHEM-1660,PO065361 Haz & PO065381 Chem,90,2025-07-20,2025-07-28,TTAF Stock
CHEM-1420,PO065361 Haz & PO065381 Chem,160,2025-07-06,2025-07-15,TTAF Stock
CHEM-1530,PO065361 Haz & PO065381 Chem,1400,2025-07-06,2025-07-15,TTAF Stock
CHEM-1600,PO065361 Haz & PO065381 Chem,200,2025-07-06,2025-07-15,TTAF Stock
CHEM-1540,PO065361 Haz & PO065381 Chem,1500,2025-07-06,2025-07-15,TTAF Stock
CHEM-1690,PO065361 Haz & PO065381 Chem,135,2025-07-06,2025-07-15,TTAF Stock
CHEM-1720,PO065361 Haz & PO065381 Chem,600,2025-07-06,2025-07-15,TTAF Stock
CHEM-1280,PO065361 Haz & PO065381 Chem,1000,2025-07-20,2025-07-28,TTAF Stock
CHEM-1440,PO065361 Haz & PO065381 Chem,100,2025-07-06,2025-07-15,TTAF Stock
CHEM-1240,PO065361 Haz & PO065381 Chem,220,2025-07-06,2025-07-15,TTAF Stock
PP FILM,PO065361 Haz & PO065381 Chem,3000,2025-07-06,2025-07-15,TTAF Stock
4HL,PO065351,4800,2025-08-03,2025-08-12,TTAF Stock
4HL,PO065351,4800,2025-07-24,2025-07-30,TTAF Stock
4HL,PO065351,4800,2025-08-03,2025-08-13,TTAF Stock
4HL,PO065351,4800,2025-08-19,2025-08-21,TTAF Stock
1EK,PO065351,4800,2025-08-03,2025-08-12,TTAF Stock
1EK,PO065351,4800,2025-07-24,2025-07-30,TTAF Stock
7CL,PO065351,4860,2025-08-03,2025-08-13,TTAF Stock
9RN,PO065360,14520,2025-07-14,2025-07-23,TTAF Stock
9RN,PO065360,9680,2025-07-14,2025-07-23,TTAF Stock
F2290,PO065360,5940,2025-07-14,2025-07-23,TTAF Stock
0JN,PO065362,9783,2025-07-26,2025-07-28,TTAF Stock
0JN,PO065362,14285,2025-08-04,2025-08-20,TTAF Stock
CHEM-1250,PO065609 Haz & PO065611 Chem,100,2025-07-30,2025-08-04,TTAF Stock
CHEM-1250,PO065609 Haz & PO065611 Chem,50,2025-07-30,2025-08-04,TTAF Stock
CHEM-1400,PO065609 Haz & PO065611 Chem,500,2025-07-30,2025-08-04,TTAF Stock
CHEM-1400,PO065609 Haz & PO065611 Chem,50,2025-07-30,2025-08-04,TTAF Stock
CHEM-1570,PO065609 Haz & PO065611 Chem,36,2025-07-30,2025-08-04,TTAF Stock
CHEM-1670,PO065609 Haz & PO065611 Chem,360,2025-07-30,2025-08-04,TTAF Stock
CHEM-1700,PO065609 Haz & PO065611 Chem,120,2025-07-30,2025-08-04,TTAF Stock
CHEM-1660,PO065609 Haz & PO065611 Chem,90,2025-07-29,2025-08-20,TTAF Stock
CHEM-1660,PO065609 Haz & PO065611 Chem,90,2025-07-29,2025-08-20,TTAF Stock
CHEM-1420,PO065609 Haz & PO065611 Chem,240,2025-07-30,2025-08-04,TTAF Stock
CHEM-1420,PO065609 Haz & PO065611 Chem,80,2025-07-30,2025-08-04,TTAF Stock
CHEM-1530,PO065609 Haz & PO065611 Chem,1400,2025-07-30,2025-08-04,TTAF Stock
CHEM-1530,PO065609 Haz & PO065611 Chem,2100,2025-07-30,2025-08-04,TTAF Stock
CHEM-1600,PO065609 Haz & PO065611 Chem,100,2025-07-30,2025-08-04,TTAF Stock
CHEM-1600,PO065609 Haz & PO065611 Chem,400,2025-07-30,2025-08-04,TTAF Stock
CHEM-1540,PO065609 Haz & PO065611 Chem,3500,2025-07-30,2025-08-04,TTAF Stock
CHEM-1690,PO065609 Haz & PO065611 Chem,135,2025-07-30,2025-08-04,TTAF Stock
CHEM-1720,PO065609 Haz & PO065611 Chem,1080,2025-07-30,2025-08-04,TTAF Stock
CHEM-1720,PO065609 Haz & PO065611 Chem,240,2025-07-30,2025-08-04,TTAF Stock
CHEM-1280,PO065609 Haz & PO065611 Chem,1000,2025-07-29,2025-08-20,TTAF Stock
CHEM-1440,PO065609 Haz & PO065611 Chem,200,2025-07-30,2025-08-04,TTAF Stock
CHEM-1440,PO065609 Haz & PO065611 Chem,50,2025-07-30,2025-08-04,TTAF Stock
CHEM-1240,PO065609 Haz & PO065611 Chem,660,2025-07-30,2025-08-04,TTAF Stock
CHEM-1200,PO065609 Haz & PO065611 Chem,50,2025-07-30,2025-08-04,TTAF Stock
CHEM-1760,PO065609 Haz & PO065611 Chem,17,2025-07-30,2025-08-04,TTAF Stock
4HL,PO065606,9600,2025-09-02,2025-09-08,TTAF Stock
4HL,PO065606,9600,2025-08-25,2025-09-02,TTAF Stock
4HL,PO065606,4800,2025-09-09,2025-09-25,TTAF Stock
4HL,PO065606,4320,2025-09-19,2025-09-25,TTAF Stock
4HL,PO065606,5760,2025-09-09,2025-09-25,TTAF Stock
4HL,PO065606,9600,2025-09-23,2025-10-03,TTAF Stock
1EK,PO065606,9600,2025-09-02,2025-09-01,TTAF Stock
1EK,PO065606,9600,2025-08-25,2025-09-08,TTAF Stock
7CL,PO065606,6480,2025-09-19,2025-09-25,TTAF Stock
7CL,PO065606,3780,2025-09-09,2025-09-25,TTAF Stock
7CL,PO065606,6480,2025-09-23,2025-10-03,TTAF Stock
9RN,PO065617,12441,2025-08-25,2025-09-01,TTAF Stock
9RN,PO065617,20581,2025-08-25,2025-09-16,TTAF Stock
9RN,PO065617,15510,2025-09-25,2025-09-29,TTAF Stock
9RN,PO065617,21659,2025-09-25,2025-09-29,TTAF Stock
9RN,PO065617,7249,2025-10-10,2025-10-23,TTAF Stock
F2290,PO065617,6732,2025-08-25,2025-09-01,TTAF Stock
0JN,PO065610,15840,2025-08-25,2025-09-01,TTAF Stock
0JN,PO065610,15859,2025-09-08,2025-09-18,TTAF Stock
CHEM-1250,PO065760,150,2025-09-13,2025-09-23,TTAF Stock
CHEM-1400,PO065760,350,2025-09-13,2025-09-23,TTAF Stock
CHEM-1570,PO065760,36,2025-09-13,2025-09-23,TTAF Stock
CHEM-1670,PO065760,180,2025-09-13,2025-09-23,TTAF Stock
CHEM-1700,PO065760,60,2025-09-13,2025-09-23,TTAF Stock
CHEM-1660,PO065761,105,2025-09-13,2025-09-25,TTAF Stock
CHEM-1420,PO065760,240,2025-09-13,2025-09-23,TTAF Stock
CHEM-1530,PO065760,2100,2025-09-13,2025-09-23,TTAF Stock
CHEM-1600,PO065760,300,2025-09-13,2025-09-23,TTAF Stock
CHEM-1540,PO065760,4000,2025-09-13,2025-09-23,TTAF Stock
CHEM-1690,PO065760,135,2025-09-13,2025-09-23,TTAF Stock
CHEM-1720,PO065760,1200,2025-09-13,2025-09-23,TTAF Stock
CHEM-1280,PO065761,1000,2025-09-13,2025-09-25,TTAF Stock
CHEM-1440,PO065760,150,2025-09-13,2025-09-23,TTAF Stock
CHEM-1240,PO065760,660,2025-09-13,2025-09-23,TTAF Stock
CHEM-1200,PO065760,25,2025-09-13,2025-09-23,TTAF Stock
CHEM-1760,PO065760,17,2025-09-13,2025-09-23,TTAF Stock
CHEM-1650,PO065760,25,2025-09-13,2025-09-23,TTAF Stock
4HL,PO065838,13920,2025-10-08,2025-10-10,TTAF Stock
4HL,PO065838,9120,2025-10-10,2025-10-16,TTAF Stock
4HL,PO065838,2880,2025-10-10,2025-10-16,TTAF Stock
4HL,PO065838,7680,2025-10-10,2025-10-16,TTAF Stock
4HL,PO065838,1440,2025-10-29,2025-11-06,TTAF Stock
4HL,PO065838,14400,2025-10-17,2025-10-23,TTAF Stock
1EK,PO065838,9120,2025-10-08,,TTAF Stock
1EK,PO065838,2400,2025-10-10,2025-10-16,TTAF Stock
1EK,PO065838,5280,2025-10-10,2025-10-16,TTAF Stock
1EK,PO065838,1920,2025-10-10,2025-10-16,TTAF Stock
7CL,PO065838,3240,2025-10-10,2025-10-16,TTAF Stock
9RN,PO065762,15862,2025-10-10,2025-10-23,TTAF Stock
9RN,PO065762,20229,2025-10-10,2025-10-23,TTAF Stock
9RN,PO065762,7469,2025-10-26,2025-11-04,TTAF Stock
F2290,PO065762,5940,2025-09-25,2025-09-29,TTAF Stock
0JN,PO065766,13791,2025-09-22,2025-09-25,TTAF Stock
0JN,PO065766,6336,2025-10-18,2025-10-23,TTAF Stock
CHEM-1250,PO066027,100,2025-10-14,2025-10-30,TTAF Stock
CHEM-1400,PO066027,75,2025-10-14,2025-10-30,TTAF Stock
CHEM-1570,PO066027,36,2025-10-14,2025-10-30,TTAF Stock
CHEM-1670,PO066027,180,2025-10-14,2025-10-30,TTAF Stock
CHEM-1700,PO066027,60,2025-10-14,2025-10-30,TTAF Stock
CHEM-1660,PO066026,120,2025-10-10,2025-10-22,TTAF Stock
CHEM-1420,PO066027,160,2025-10-14,2025-10-30,TTAF Stock
CHEM-1530,PO066027,1400,2025-10-14,2025-10-30,TTAF Stock
CHEM-1600,PO066027,200,2025-10-14,2025-10-30,TTAF Stock
CHEM-1540,PO066027,3500,2025-10-14,2025-10-30,TTAF Stock
CHEM-1690,PO066027,135,2025-10-14,2025-10-30,TTAF Stock
CHEM-1720,PO066027,1320,2025-10-14,2025-10-30,TTAF Stock
CHEM-1280,PO066026,1000,2025-10-10,2025-10-22,TTAF Stock
CHEM-1440,PO066027,150,2025-10-14,2025-10-30,TTAF Stock
CHEM-1240,PO066027,660,2025-10-14,2025-10-30,TTAF Stock
CHEM-1200,PO066027,25,2025-10-14,2025-10-30,TTAF Stock
4HL,PO065960,9600,2025-10-29,2025-11-06,TTAF Stock
4HL,PO065960,9600,2025-10-31,2025-11-06,TTAF Stock
4HL,PO065960,7680,2025-11-19,2025-11-22,TTAF Stock
4HL,PO065960,1920,2025-11-05,2025-11-07,TTAF Stock
4HL,PO065960,4800,2025-11-26,2025-12-01,TTAF Stock
4HL,PO065960,9600,2025-11-11,2025-11-20,TTAF Stock
1EK,PO065960,960,2025-11-19,2025-11-22,TTAF Stock
1EK,PO065960,11040,2025-11-05,2025-11-07,TTAF Stock
1EK,PO065960,4800,2025-11-26,2025-12-01,TTAF Stock
7CL,PO065960,1080,2025-11-19,2025-11-22,TTAF Stock
7CL,PO065960,540,2025-11-05,2025-11-07,TTAF Stock
9RN,PO066028,3245,2025-10-26,2025-11-04,TTAF Stock
9RN,PO066028,15026,2025-10-26,2025-11-04,TTAF Stock
9RN,PO066028,22869,2025-10-26,2025-11-04,TTAF Stock
F2290,PO066028,1980,2025-10-26,2025-11-04,TTAF Stock
0JN,PO066017,12672,2025-10-18,2025-10-23,TTAF Stock
0JN,PO066017,10913,2025-11-11,,TTAF Stock
CHEM-1250,PO066269,100,2025-11-11,2025-11-25,TTAF Stock
CHEM-1400,PO066269,100,2025-11-11,2025-11-25,TTAF Stock
CHEM-1570,PO066269,36,2025-11-11,2025-11-25,TTAF Stock
CHEM-1670,PO066269,180,2025-11-11,2025-11-25,TTAF Stock
CHEM-1700,PO066269,60,2025-11-11,2025-11-25,TTAF Stock
CHEM-1660,PO066268,135,2025-11-05,2025-11-10,TTAF Stock
CHEM-1420,PO066269,240,2025-11-11,2025-11-25,TTAF Stock
CHEM-1530,PO066269,2800,2025-11-11,2025-11-25,TTAF Stock
CHEM-1600,PO066269,175,2025-11-11,2025-11-25,TTAF Stock
CHEM-1540,PO066269,2500,2025-11-11,2025-11-25,TTAF Stock
CHEM-1690,PO066269,135,2025-11-11,2025-11-25,TTAF Stock
CHEM-1280,PO066268,1000,2025-11-05,2025-11-10,TTAF Stock
CHEM-1440,PO066269,150,2025-11-11,2025-11-25,TTAF Stock
CHEM-1240,PO066269,440,2025-11-11,2025-11-25,TTAF Stock
CHEM-1760,PO066269,17,2025-11-11,2025-11-25,TTAF Stock
4HL,PO066191,960,2025-12-16,2026-01-06,TTAF Stock
4HL,PO066191,9600,2025-12-17,2025-12-31,TTAF Stock
4HL,PO066191,9600,2025-12-16,2026-01-06,TTAF Stock
4HL,PO066191,9120,2025-12-21,2025-12-31,TTAF Stock
4HL,PO066191,9600,2025-12-10,2025-12-11,TTAF Stock
1EK,PO066191,7680,2025-12-08,2025-12-12,TTAF Stock
1EK,PO066191,8160,2025-12-16,2026-01-06,TTAF Stock
7CL,PO066191,1620,2025-12-08,2025-12-12,TTAF Stock
9RN,PO066260,18964,2025-11-26,2025-12-11,TTAF Stock
9RN,PO066260,19305,2025-11-26,2025-12-11,TTAF Stock
